"id";"nome";"cidade";"latitude";"longitude";"cep";"endereco"
"1";"CENTRO SP";"SAO PAULO";"-23.5481";"-46.6356";"01002-001";"RUA DIREITA 151"
"2";"BUENOS AIRES";"RIO DE JANEIRO";"-22.9055";"-43.1854";"20061-003";"RUA BUENOS AIRES 289 E 291 TERR"
"3";"NITEROI";"NITEROI";"-22.8924";"-43.1222";"24030-077";"RUA VISCONDE DO URUGUAI 503 507 E CEL"
"5";"CENTRO RJ";"RIO DE JANEIRO";"-22.9053";"-43.1802";"20040-030";"RUA DO OUVIDOR 175 A 181 LJE"
"6";"SHC IGUATEMI SP";"SAO PAULO";"-23.5765";"-46.6872";"01451-000";"AVENIDA BRIGADEIRO FARIA LIMA 2232 C 3"
"7";"BELFORD ROXO";"BELFORD ROXO";"-22.7697";"-43.3965";"26130-000";"AVENIDA BENJAMIM PINTO DIAS 1130 LOJA 13"
"8";"SANTOS";"SANTOS";"-23.9343";"-46.3302";"11013-001";"RUA JOAO PESSOA 35"
"9";"CAMPINAS";"CAMPINAS";"-22.9548";"-47.1902";"13010-071";"RUA 13 DE MAIO 573"
"10";"SHC RIO SUL RJ";"RIO DE JANEIRO";"-22.9572";"-43.1773";"22290-000";"RUA LAURO MULLER 116 LJ 401 PTE"
"11";"SÃO JOÃO DE MERITI";"SÃO JOÃO DE MERITI";"-22.8004";"-43.3723";"25520-640";"RUA DA MATRIZ 355 LOJA"
"12";"MADUREIRA";"RIO DE JANEIRO";"-22.8728";"-43.3385";"21351-050";"EST DO PORTELA 70  A 76 SSL"
"14";"JUIZ DE FORA";"JUIZ DE FORA";"-21.7606";"-43.3505";"36010-000";"RUA HALFELD 668"
"15";"CURITIBA";"CURITIBA";"-25.4315";"-49.2739";"80410-240";"RUA EBANO PEREIRA 67"
"16";"BAURU";"BAURU";"-22.3219";"-49.0672";"17010-001";"RUA BATISTA DE CARVALHO 3 55"
"17";"VOLTA REDONDA";"VOLTA REDONDA";"-22.5174";"-44.1048";"27260-170";"PRC BRASIL 171"
"18";"PETROPOLIS";"PETROPOLIS";"-22.5091";"-43.174";"25620-000";"RUA DO IMPERADOR 428"
"19";"TIJUCA";"RIO DE JANEIRO";"-22.9243";"-43.2332";"20520-053";"RUA CONDE DE BONFIM 352"
"20";"COPACABANA";"RIO DE JANEIRO";"-22.97";"-43.1857";"22050-001";"AV N S DE COPACABANA 620 A 622 LJS"
"21";"SAO JOSE DO RIO PRETO";"SAO JOSE DO RIO PRET";"-20.8201";"-49.3914";"15015-400";"RUA GENERAL GLICERIO 2888 R SIQ.CAMP"
"22";"IPANEMA";"RIO DE JANEIRO";"-22.9839";"-43.2111";"22410-002";"RUA VISCONDE DE PIRAJA 526 532 532 A"
